0: Birth: 0
56001100: Birth: 1
80001900: Food Made: 0
80001900: Food Made: 1
80001900: Food Made: 2
80001900: Food Made: 3
80001900: Food Made: 4
80001900: Food Made: 5
80001900: Food Made: 6
80001900: Food Made: 7
80001900: Food Made: 8
80001900: Food Made: 9
80001900: Food Made: 10
80001900: Food Made: 11
80001900: Food Made: 12
80001900: Food Made: 13
80001900: Food Made: 14
80001900: Food Made: 15
80001900: Food Made: 16
80001900: Food Made: 17
80001900: Food Made: 18
80001900: Food Made: 19
80001900: Food Made: 20
80001900: Food Made: 21
80001900: Food Made: 22
80001900: Food Made: 23
80001900: Food Made: 24
80001900: Food Made: 25
80001900: Food Made: 26
80001900: Food Made: 27
80001900: Food Made: 28
80001900: Food Made: 29
80001900: Food Made: 30
80001900: Food Made: 31
80001900: Food Made: 32
80001900: Food Made: 33
80001900: Food Made: 34
80001900: Food Made: 35
80001900: Food Made: 36
80001900: Food Made: 37
80001900: Food Made: 38
80001900: Food Made: 39
80001900: Food Made: 40
80001900: Food Made: 41
80001900: Food Made: 42
80001900: Food Made: 43
80001900: Food Made: 44
80001900: Food Made: 45
80001900: Food Made: 46
80001900: Food Made: 47
80001900: Food Made: 48
80001900: Food Made: 49
80001900: Food Made: 50
80001900: Food Made: 51
80001900: Food Made: 52
80001900: Food Made: 53
80001900: Food Made: 54
80001900: Food Made: 55
80001900: Food Made: 56
80001900: Food Made: 57
80001900: Food Made: 58
80001900: Food Made: 59
80001900: Food Made: 60
80001900: Food Made: 61
80001900: Food Made: 62
80001900: Food Made: 63
80001900: Food Made: 64
80001900: Food Made: 65
80001900: Food Made: 66
80001900: Food Made: 67
80001900: Food Made: 68
80001900: Food Made: 69
80001900: Food Made: 70
80001900: Food Made: 71
80001900: Food Made: 72
80001900: Food Made: 73
80001900: Food Made: 74
80001900: Food Made: 75
80001900: Food Made: 76
80001900: Food Made: 77
80001900: Food Made: 78
80001900: Food Made: 79
80001900: Food Made: 80
80001900: Food Made: 81
80001900: Food Made: 82
80001900: Food Made: 83
80001900: Food Made: 84
80001900: Food Made: 85
80001900: Food Made: 86
80001900: Food Made: 87
80001900: Food Made: 88
80001900: Food Made: 89
80001900: Food Made: 90
80001900: Food Made: 91
80001900: Food Made: 92
80001900: Food Made: 93
80001900: Food Made: 94
80001900: Food Made: 95
80001900: Food Made: 96
80001900: Food Made: 97
80001900: Food Made: 98
80001900: Food Made: 99
80001900: Food Made: 100
80001900: Food Made: 101
80001900: Food Made: 102
80001900: Food Made: 103
80001900: Food Made: 104
80001900: Food Made: 105
80001900: Food Made: 106
80001900: Food Made: 107
80001900: Food Made: 108
80001900: Food Made: 109
80001900: Food Made: 110
80001900: Food Made: 111
80001900: Food Made: 112
80001900: Food Made: 113
80001900: Food Made: 114
80001900: Food Made: 115
80001900: Food Made: 116
80001900: Food Made: 117
80001900: Food Made: 118
80001900: Food Made: 119
80001900: Food Made: 120
80001900: Food Made: 121
80001900: Food Made: 122
80001900: Food Made: 123
80001900: Food Made: 124
80001900: Food Made: 125
80001900: Food Made: 126
80001900: Food Made: 127
80001900: Food Made: 128
80001900: Food Made: 129
80001900: Food Made: 130
80001900: Food Made: 131
80001900: Food Made: 132
80001900: Food Made: 133
80001900: Food Made: 134
80001900: Food Made: 135
80001900: Food Made: 136
80001900: Food Made: 137
80001900: Food Made: 138
80001900: Food Made: 139
80001900: Food Made: 140
80001900: Food Made: 141
80001900: Food Made: 142
80001900: Food Made: 143
80001900: Food Made: 144
80001900: Food Made: 145
80001900: Food Made: 146
80001900: Food Made: 147
80001900: Food Made: 148
80001900: Food Made: 149
80001900: Food Made: 150
80001900: Food Made: 151
80001900: Food Made: 152
80001900: Food Made: 153
80001900: Food Made: 154
80001900: Food Made: 155
80001900: Food Made: 156
80001900: Food Made: 157
80001900: Food Made: 158
80001900: Food Made: 159
80001900: Food Made: 160
80001900: Food Made: 161
80001900: Food Made: 162
80001900: Food Made: 163
80001900: Food Made: 164
80001900: Food Made: 165
80001900: Food Made: 166
80001900: Food Made: 167
80001900: Food Made: 168
80001900: Food Made: 169
80001900: Food Made: 170
80001900: Food Made: 171
80001900: Food Made: 172
80001900: Food Made: 173
80001900: Food Made: 174
80001900: Food Made: 175
80001900: Food Made: 176
80001900: Food Made: 177
80001900: Food Made: 178
80001900: Food Made: 179
80001900: Food Made: 180
80001900: Food Made: 181
80001900: Food Made: 182
80001900: Food Made: 183
80001900: Food Made: 184
80001900: Food Made: 185
80001900: Food Made: 186
80001900: Food Made: 187
80001900: Food Made: 188
80001900: Food Made: 189
80001900: Food Made: 190
80001900: Food Made: 191
80001900: Food Made: 192
80001900: Food Made: 193
80001900: Food Made: 194
80001900: Food Made: 195
80001900: Food Made: 196
80001900: Food Made: 197
80001900: Food Made: 198
80001900: Food Made: 199
80001900: Food Made: 200
80001900: Food Made: 201
80001900: Food Made: 202
80001900: Food Made: 203
80001900: Food Made: 204
80001900: Food Made: 205
80001900: Food Made: 206
80001900: Food Made: 207
80001900: Food Made: 208
80001900: Food Made: 209
80001900: Food Made: 210
80001900: Food Made: 211
80001900: Food Made: 212
80001900: Food Made: 213
80001900: Food Made: 214
80001900: Food Made: 215
80001900: Food Made: 216
80001900: Food Made: 217
80001900: Food Made: 218
80001900: Food Made: 219
80001900: Food Made: 220
80001900: Food Made: 221
80001900: Food Made: 222
80001900: Food Made: 223
80001900: Food Made: 224
80001900: Food Made: 225
80001900: Food Made: 226
80001900: Food Made: 227
80001900: Food Made: 228
80001900: Food Made: 229
80001900: Food Made: 230
80001900: Food Made: 231
80001900: Food Made: 232
80001900: Food Made: 233
80001900: Food Made: 234
80001900: Food Made: 235
80001900: Food Made: 236
80001900: Food Made: 237
80001900: Food Made: 238
80001900: Food Made: 239
80001900: Food Made: 240
80001900: Food Made: 241
80001900: Food Made: 242
80001900: Food Made: 243
80001900: Food Made: 244
80001900: Food Made: 245
80001900: Food Made: 246
80001900: Food Made: 247
80001900: Food Made: 248
